Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Robert Covington,Shared Games with Terance Mann,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with De'Andre Hunter,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Shared Games with Thomas Bryant,Aaron Gordon,Bruce Brown,Christian Braun,Collin Gillespie,DeAndre Jordan,Donovan Williams,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Thomas Bryant,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,co_inf with Collin Gillespie,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-20,32-187,LAC,@,LAL,W (+6),1,23:28,3.0,9.0,.333,1.0,3.0,.333,1,2.0,.500,0.0,1.0,1.0,4.0,1.0,0.0,2.0,0.0,8.0,4.6,+9,6.0,2.0,0.3333333333333333,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0,14,3,27,21,20,39,15,30,18,19,17,19,35,24,31,28,22,12,19,13,13,19,4,9,2,12,11,12,12,12,6,10,4,9,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,59.0,60.0,53.0,0.1764705882352941,0.1625,0.1710526315789473,0.1025641025641025,0.2093023255813953,0.1176470588235294,0.1846153846153846,0.1964285714285714,0.1578947368421052,0.1935483870967742,0.1739130434782608,0.2608695652173913,0.1666666666666666,0.0754716981132075,,0.0,0.1525423728813559,49,1.0,50.0,1.020408163265306,4.200000000000001,61.8,1.2612244897959184
1,2,2,2022-10-22,32-189,LAC,@,SAC,W (+2),1,26:46,4.0,5.0,.800,3.0,3.0,1.000,3,3.0,1.000,0.0,2.0,2.0,5.0,1.0,0.0,3.0,2.0,14.0,13.4,0,2.0,1.0,0.5,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0,14,3,27,21,20,39,15,30,18,19,17,19,35,24,31,28,22,12,19,13,13,19,4,9,2,12,11,12,12,12,6,10,4,9,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,59.0,60.0,53.0,0.1764705882352941,0.1625,0.1710526315789473,0.1025641025641025,0.2093023255813953,0.1176470588235294,0.1846153846153846,0.1964285714285714,0.1578947368421052,0.1935483870967742,0.1739130434782608,0.2608695652173913,0.1666666666666666,0.0754716981132075,,0.0,0.1525423728813559,49,11.0,77.0,1.5714285714285714,12.2,89.0,1.816326530612245
2,3,3,2022-10-23,32-190,LAC,,PHO,L (-17),1,23:45,0.0,5.0,.000,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,-0.5,-14,3.0,0.0,0.0,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0,14,3,27,21,20,39,15,30,18,19,17,19,35,24,31,28,22,12,19,13,13,19,4,9,2,12,11,12,12,12,6,10,4,9,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,59.0,60.0,53.0,0.1764705882352941,0.1625,0.1710526315789473,0.1025641025641025,0.2093023255813953,0.1176470588235294,0.1846153846153846,0.1964285714285714,0.1578947368421052,0.1935483870967742,0.1739130434782608,0.2608695652173913,0.1666666666666666,0.0754716981132075,,0.0,0.1525423728813559,49,0.0,81.0,1.653061224489796,-0.5,92.89999999999998,1.8959183673469384
3,4,4,2022-10-25,32-192,LAC,@,OKC,L (-14),1,30:00,4.0,17.0,.235,1.0,6.0,.167,0,0.0,,0.0,3.0,3.0,6.0,0.0,0.0,3.0,2.0,9.0,0.0,-19,11.0,3.0,0.2727272727272727,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0,14,3,27,21,20,39,15,30,18,19,17,19,35,24,31,28,22,12,19,13,13,19,4,9,2,12,11,12,12,12,6,10,4,9,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,59.0,60.0,53.0,0.1764705882352941,0.1625,0.1710526315789473,0.1025641025641025,0.2093023255813953,0.1176470588235294,0.1846153846153846,0.1964285714285714,0.1578947368421052,0.1935483870967742,0.1739130434782608,0.2608695652173913,0.1666666666666666,0.0754716981132075,,0.0,0.1525423728813559,49,-2.0,64.0,1.3061224489795915,8.881784197001252e-16,69.80000000000001,1.4244897959183676
4,5,5,2022-10-27,32-194,LAC,@,OKC,L (-8),1,37:14,8.0,13.0,.615,2.0,4.0,.500,0,0.0,,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,18.0,16.1,-17,9.0,6.0,0.6666666666666666,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0,14,3,27,21,20,39,15,30,18,19,17,19,35,24,31,28,22,12,19,13,13,19,4,9,2,12,11,12,12,12,6,10,4,9,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,59.0,60.0,53.0,0.1764705882352941,0.1625,0.1710526315789473,0.1025641025641025,0.2093023255813953,0.1176470588235294,0.1846153846153846,0.1964285714285714,0.1578947368421052,0.1935483870967742,0.1739130434782608,0.2608695652173913,0.1666666666666666,0.0754716981132075,,0.0,0.1525423728813559,49,12.0,92.0,1.877551020408164,16.1,95.5,1.9489795918367347
5,6,6,2022-10-30,32-197,LAC,,NOP,L (-21),1,27:21,4.0,12.0,.333,1.0,7.0,.143,0,0.0,,2.0,3.0,5.0,3.0,1.0,0.0,4.0,1.0,9.0,3.2,-8,5.0,3.0,0.6,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0,14,3,27,21,20,39,15,30,18,19,17,19,35,24,31,28,22,12,19,13,13,19,4,9,2,12,11,12,12,12,6,10,4,9,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,59.0,60.0,53.0,0.1764705882352941,0.1625,0.1710526315789473,0.1025641025641025,0.2093023255813953,0.1176470588235294,0.1846153846153846,0.1964285714285714,0.1578947368421052,0.1935483870967742,0.1739130434782608,0.2608695652173913,0.1666666666666666,0.0754716981132075,,0.0,0.1525423728813559,49,2.0,61.0,1.2448979591836735,3.200000000000001,66.7,1.3612244897959185
6,7,7,2022-10-31,32-198,LAC,,HOU,W (+2),1,30:02,2.0,11.0,.182,0.0,6.0,.000,2,2.0,1.000,1.0,1.0,2.0,6.0,0.0,0.0,1.0,1.0,6.0,2.9,0,5.0,2.0,0.4,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0,14,3,27,21,20,39,15,30,18,19,17,19,35,24,31,28,22,12,19,13,13,19,4,9,2,12,11,12,12,12,6,10,4,9,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,59.0,60.0,53.0,0.1764705882352941,0.1625,0.1710526315789473,0.1025641025641025,0.2093023255813953,0.1176470588235294,0.1846153846153846,0.1964285714285714,0.1578947368421052,0.1935483870967742,0.1739130434782608,0.2608695652173913,0.1666666666666666,0.0754716981132075,,0.0,0.1525423728813559,49,0.0,70.0,1.4285714285714286,2.100000000000001,82.0,1.6734693877551021
7,8,8,2022-11-02,32-200,LAC,@,HOU,W (+8),1,33:20,4.0,11.0,.364,0.0,4.0,.000,4,4.0,1.000,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,12.0,8.9,+11,7.0,4.0,0.5714285714285714,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0,14,3,27,21,20,39,15,30,18,19,17,19,35,24,31,28,22,12,19,13,13,19,4,9,2,12,11,12,12,12,6,10,4,9,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,59.0,60.0,53.0,0.1764705882352941,0.1625,0.1710526315789473,0.1025641025641025,0.2093023255813953,0.1176470588235294,0.1846153846153846,0.1964285714285714,0.1578947368421052,0.1935483870967742,0.1739130434782608,0.2608695652173913,0.1666666666666666,0.0754716981132075,,0.0,0.1525423728813559,49,2.0,90.0,1.836734693877551,7.3,96.0,1.9591836734693877
8,9,9,2022-11-04,32-202,LAC,@,SAS,W (+7),1,37:08,5.0,11.0,.455,2.0,4.0,.500,2,2.0,1.000,0.0,3.0,3.0,5.0,0.0,0.0,2.0,1.0,14.0,10.3,+7,7.0,3.0,0.4285714285714285,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0,14,3,27,21,20,39,15,30,18,19,17,19,35,24,31,28,22,12,19,13,13,19,4,9,2,12,11,12,12,12,6,10,4,9,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,59.0,60.0,53.0,0.1764705882352941,0.1625,0.1710526315789473,0.1025641025641025,0.2093023255813953,0.1176470588235294,0.1846153846153846,0.1964285714285714,0.1578947368421052,0.1935483870967742,0.1739130434782608,0.2608695652173913,0.1666666666666666,0.0754716981132075,,0.0,0.1525423728813559,49,7.0,88.0,1.7959183673469388,9.499999999999998,91.8,1.873469387755102
9,10,10,2022-11-06,32-204,LAC,,UTA,L (-8),1,19:41,1.0,3.0,.333,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.2,+3,2.0,0.0,0.0,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0,14,3,27,21,20,39,15,30,18,19,17,19,35,24,31,28,22,12,19,13,13,19,4,9,2,12,11,12,12,12,6,10,4,9,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,59.0,60.0,53.0,0.1764705882352941,0.1625,0.1710526315789473,0.1025641025641025,0.2093023255813953,0.1176470588235294,0.1846153846153846,0.1964285714285714,0.1578947368421052,0.1935483870967742,0.1739130434782608,0.2608695652173913,0.1666666666666666,0.0754716981132075,,0.0,0.1525423728813559,49,1.0,79.0,1.6122448979591837,1.1999999999999995,90.5,1.846938775510204
10,11,11,2022-11-07,32-205,LAC,,CLE,W (+2),1,36:14,6.0,11.0,.545,2.0,5.0,.400,4,4.0,1.000,0.0,2.0,2.0,7.0,0.0,0.0,4.0,4.0,18.0,12.6,-2,6.0,4.0,0.6666666666666666,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0,14,3,27,21,20,39,15,30,18,19,17,19,35,24,31,28,22,12,19,13,13,19,4,9,2,12,11,12,12,12,6,10,4,9,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,59.0,60.0,53.0,0.1764705882352941,0.1625,0.1710526315789473,0.1025641025641025,0.2093023255813953,0.1176470588235294,0.1846153846153846,0.1964285714285714,0.1578947368421052,0.1935483870967742,0.1739130434782608,0.2608695652173913,0.1666666666666666,0.0754716981132075,,0.0,0.1525423728813559,49,8.0,76.0,1.5510204081632653,10.999999999999998,85.39999999999999,1.7428571428571427
11,12,12,2022-11-09,32-207,LAC,,LAL,W (+13),1,24:02,7.0,14.0,.500,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,4.0,5.0,14.0,4.1,+2,12.0,7.0,0.5833333333333334,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0,14,3,27,21,20,39,15,30,18,19,17,19,35,24,31,28,22,12,19,13,13,19,4,9,2,12,11,12,12,12,6,10,4,9,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,59.0,60.0,53.0,0.1764705882352941,0.1625,0.1710526315789473,0.1025641025641025,0.2093023255813953,0.1176470588235294,0.1846153846153846,0.1964285714285714,0.1578947368421052,0.1935483870967742,0.1739130434782608,0.2608695652173913,0.1666666666666666,0.0754716981132075,,0.0,0.1525423728813559,49,0.0,62.0,1.2653061224489797,4.1,81.0,1.653061224489796
12,13,13,2022-11-12,32-210,LAC,,BRK,L (-15),1,33:20,2.0,5.0,.400,2.0,5.0,.400,0,0.0,,1.0,5.0,6.0,6.0,1.0,0.0,3.0,2.0,6.0,6.9,-18,0.0,0.0,,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0,14,3,27,21,20,39,15,30,18,19,17,19,35,24,31,28,22,12,19,13,13,19,4,9,2,12,11,12,12,12,6,10,4,9,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,59.0,60.0,53.0,0.1764705882352941,0.1625,0.1710526315789473,0.1025641025641025,0.2093023255813953,0.1176470588235294,0.1846153846153846,0.1964285714285714,0.1578947368421052,0.1935483870967742,0.1739130434782608,0.2608695652173913,0.1666666666666666,0.0754716981132075,,0.0,0.1525423728813559,49,11.0,92.0,1.877551020408164,6.899999999999999,105.69999999999996,2.157142857142856
13,14,14,2022-11-14,32-212,LAC,@,HOU,W (+16),1,22:48,7.0,11.0,.636,3.0,7.0,.429,0,0.0,,0.0,2.0,2.0,6.0,0.0,0.0,3.0,4.0,17.0,12.3,+7,4.0,4.0,1.0,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0,14,3,27,21,20,39,15,30,18,19,17,19,35,24,31,28,22,12,19,13,13,19,4,9,2,12,11,12,12,12,6,10,4,9,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,59.0,60.0,53.0,0.1764705882352941,0.1625,0.1710526315789473,0.1025641025641025,0.2093023255813953,0.1176470588235294,0.1846153846153846,0.1964285714285714,0.1578947368421052,0.1935483870967742,0.1739130434782608,0.2608695652173913,0.1666666666666666,0.0754716981132075,,0.0,0.1525423728813559,49,11.0,50.0,1.020408163265306,12.300000000000002,54.89999999999999,1.120408163265306
14,15,15,2022-11-15,32-213,LAC,@,DAL,L (-2),1,25:07,3.0,7.0,.429,0.0,3.0,.000,0,0.0,,0.0,4.0,4.0,2.0,1.0,0.0,2.0,0.0,6.0,3.9,+6,4.0,3.0,0.75,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0,14,3,27,21,20,39,15,30,18,19,17,19,35,24,31,28,22,12,19,13,13,19,4,9,2,12,11,12,12,12,6,10,4,9,68.0,80.0,76.0,,39.0,2.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,59.0,60.0,53.0,0.1764705882352941,0.1625,0.1710526315789473,0.1025641025641025,0.2093023255813953,0.1176470588235294,0.1846153846153846,0.1964285714285714,0.1578947368421052,0.1935483870967742,0.1739130434782608,0.2608695652173913,0.1666666666666666,0.0754716981132075,,0.0,0.1525423728813559,49,4.0,52.0,1.0612244897959184,3.900000000000001,66.5,1.3571428571428572
