Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Jay Scrubb,Shared Games with Jonathan Isaac,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Michael Carter-Williams,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with Terrence Ross,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.
0,1,1,2022-10-19,21-254,ORL,@,DET,L (-4),0,11.483333333333333,1.0,2.0,.500,1.0,1.0,1.000,2,2,1.000,1,3,4,2,1,0,0,0,5,8.0,+7,1.0,0.0,0.0,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
1,2,2,2022-10-21,21-256,ORL,@,ATL,L (-10),0,16.383333333333333,1.0,3.0,.333,0.0,1.0,.000,0,0,,0,0,0,2,0,0,2,2,2,-1.1,-5,2.0,1.0,0.5,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
2,3,3,2022-10-22,21-257,ORL,,BOS,L (-6),0,9.016666666666667,0.0,0.0,,0.0,0.0,,1,2,.500,0,0,0,0,1,0,0,1,1,1.2,-2,0.0,0.0,,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
3,4,4,2022-10-24,21-259,ORL,@,NYK,L (-13),0,7.066666666666666,0.0,1.0,.000,0.0,0.0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-3,1.0,0.0,0.0,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
4,5,,2022-10-26,21-261,ORL,@,CLE,L (-11),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
5,6,5,2022-10-28,21-263,ORL,,CHO,W (+20),0,24.616666666666667,2.0,7.0,.286,0.0,1.0,.000,5,5,1.000,1,3,4,4,2,0,1,1,9,9.9,-3,6.0,2.0,0.3333333333333333,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
6,7,6,2022-10-30,21-265,ORL,@,DAL,L (-9),0,21.316666666666666,6.0,9.0,.667,3.0,4.0,.750,0,0,,2,2,4,1,2,0,0,1,15,15.4,-6,5.0,3.0,0.6,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
7,8,7,2022-11-01,21-267,ORL,@,OKC,L (-8),0,20.8,4.0,7.0,.571,2.0,4.0,.500,0,0,,0,2,2,1,0,1,1,3,10,6.5,-8,3.0,2.0,0.6666666666666666,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
8,9,8,2022-11-03,21-269,ORL,,GSW,W (+1),0,20.283333333333335,4.0,6.0,.667,3.0,5.0,.600,4,4,1.000,1,1,2,0,1,1,3,3,15,10.9,+6,1.0,1.0,1.0,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
9,10,9,2022-11-05,21-271,ORL,,SAC,L (-3),0,17.15,2.0,6.0,.333,0.0,1.0,.000,1,1,1.000,1,1,2,1,0,0,1,1,5,1.9,-11,5.0,2.0,0.4,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
10,11,,2022-11-07,21-273,ORL,,HOU,L (-7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
11,12,10,2022-11-09,21-275,ORL,,DAL,W (+7),0,8.55,1.0,2.0,.500,0.0,1.0,.000,0,0,,0,0,0,2,0,1,2,0,2,1.1,-7,1.0,1.0,1.0,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
12,13,11,2022-11-11,21-277,ORL,,PHO,W (+17),0,10.933333333333334,3.0,3.0,1.000,2.0,2.0,1.000,0,0,,0,0,0,2,1,1,1,1,8,8.8,+11,1.0,1.0,1.0,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
13,14,12,2022-11-14,21-280,ORL,,CHO,L (-7),0,10.35,3.0,7.0,.429,1.0,4.0,.250,3,3,1.000,0,0,0,1,1,0,1,0,10,7.0,+6,3.0,2.0,0.6666666666666666,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
14,15,13,2022-11-16,21-282,ORL,,MIN,L (-18),0,10.25,2.0,6.0,.333,0.0,2.0,.000,0,0,,0,0,0,1,0,0,1,1,4,-0.1,-12,4.0,2.0,0.5,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
15,16,,2022-11-18,21-284,ORL,@,CHI,W (+1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
16,17,14,2022-11-19,21-285,ORL,@,IND,L (-1),0,25.483333333333334,5.0,8.0,.625,2.0,3.0,.667,2,4,.500,0,1,1,0,2,0,1,2,14,10.1,+1,5.0,3.0,0.6,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
17,18,15,2022-11-21,21-287,ORL,@,IND,L (-21),0,21.2,2.0,7.0,.286,0.0,3.0,.000,2,3,.667,1,1,2,5,1,0,1,1,6,5.6,-11,4.0,2.0,0.5,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
18,19,16,2022-11-25,21-291,ORL,,PHI,L (-8),0,28.716666666666665,4.0,11.0,.364,2.0,6.0,.333,0,0,,0,4,4,1,1,0,1,1,10,5.4,-1,5.0,2.0,0.4,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
19,20,17,2022-11-27,21-293,ORL,,PHI,L (-30),0,25.783333333333335,3.0,9.0,.333,0.0,4.0,.000,5,5,1.000,1,2,3,3,2,0,1,1,11,9.9,-20,5.0,3.0,0.6,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
21,21,18,2022-11-28,21-294,ORL,@,BRK,L (-7),0,20.716666666666665,1.0,7.0,.143,0.0,4.0,.000,0,0,,0,2,2,4,1,0,2,0,2,-0.1,+2,3.0,1.0,0.3333333333333333,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
22,22,19,2022-11-30,21-296,ORL,,ATL,L (-17),0,1.9666666666666668,1.0,1.0,1.000,1.0,1.0,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,0,0.0,0.0,,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
23,23,,2022-12-02,21-298,ORL,@,CLE,L (-11),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
24,24,20,2022-12-03,21-299,ORL,@,TOR,L (-13),0,8.25,1.0,2.0,.500,0.0,1.0,.000,2,2,1.000,0,2,2,2,0,0,0,0,4,5.0,+9,1.0,1.0,1.0,16,25,19,15,11,26,7,13,0,0,17,8,4,21,11,20,23,14,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,63.0,57.0,0.4324324324324324,0.3571428571428571,0.3725490196078431,0.5555555555555556,0.1833333333333333,0.325,0.1458333333333333,0.2452830188679245,0.0,0.0,0.5,0.1333333333333333,1.0,0.4285714285714285,0.1929824561403508,0.2777777777777778,0.365079365079365,0.2456140350877192
