Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
27,27,18,2022-12-13,24-068,NOP,@,UTA,L (-21),1,20:28,2.0,5.0,.400,0.0,2.0,.000,2,2.0,1.000,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,4.3,-12,3.0,2.0,0.6666666666666666,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,1.0,48.0,3.0,3.5,73.6,4.6
28,28,19,2022-12-15,24-070,NOP,@,UTA,L (-3),1,21:12,3.0,6.0,.500,1.0,1.0,1.000,5,6.0,.833,3.0,1.0,4.0,4.0,1.0,0.0,0.0,6.0,12.0,12.4,+17,5.0,2.0,0.4,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,9.0,65.0,4.0625,10.400000000000002,83.4,5.2125
29,29,20,2022-12-17,24-072,NOP,@,PHO,L (-4),1,31:20,3.0,4.0,.750,2.0,3.0,.667,0,0.0,,0.0,3.0,3.0,4.0,0.0,0.0,0.0,3.0,8.0,8.9,-13,1.0,1.0,1.0,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,11.0,64.0,4.0,8.899999999999999,72.3,4.51875
30,30,21,2022-12-19,24-074,NOP,,MIL,L (-9),1,30:44,3.0,11.0,.273,2.0,8.0,.250,1,2.0,.500,1.0,1.0,2.0,1.0,5.0,0.0,2.0,5.0,9.0,4.8,+7,3.0,1.0,0.3333333333333333,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,2.0,74.0,4.625,4.399999999999999,80.2,5.0125
31,31,22,2022-12-22,24-077,NOP,,SAS,W (+9),1,34:26,4.0,8.0,.500,2.0,4.0,.500,2,2.0,1.000,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,12.0,10.6,+16,4.0,2.0,0.5,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,8.0,79.0,4.9375,9.799999999999995,88.5,5.53125
32,32,23,2022-12-23,24-078,NOP,@,OKC,W (+3),1,36:33,4.0,12.0,.333,0.0,3.0,.000,7,8.0,.875,1.0,5.0,6.0,3.0,3.0,1.0,3.0,5.0,15.0,10.8,+3,9.0,4.0,0.4444444444444444,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,5.0,69.0,4.3125,8.0,74.39999999999999,4.6499999999999995
33,33,,2022-12-26,24-081,NOP,,IND,W (+20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,,98.0,6.125,0.0,83.1,5.19375
34,34,,2022-12-28,24-083,NOP,,MIN,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,,63.0,3.9375,0.0,82.0,5.125
35,35,,2022-12-30,24-085,NOP,,PHI,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,,84.0,5.25,0.0,105.09999999999998,6.568749999999999
36,36,24,2022-12-31,24-086,NOP,@,MEM,L (-15),1,27:59,2.0,12.0,.167,0.0,4.0,.000,0,1.0,.000,5.0,6.0,11.0,3.0,3.0,0.0,2.0,1.0,4.0,4.0,-1,8.0,2.0,0.25,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,6.0,40.0,2.5,4.000000000000002,48.3,3.01875
37,37,25,2023-01-02,24-088,NOP,@,PHI,L (-9),1,29:27,4.0,7.0,.571,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,8.0,6.6,0,6.0,4.0,0.6666666666666666,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,6.0,80.0,5.0,6.599999999999998,79.60000000000001,4.9750000000000005
38,38,26,2023-01-04,24-090,NOP,,HOU,W (+11),1,30:34,1.0,1.0,1.000,1.0,1.0,1.000,6,6.0,1.000,1.0,4.0,5.0,0.0,2.0,1.0,1.0,3.0,9.0,11.1,+5,0.0,0.0,,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,9.0,86.0,5.375,8.7,99.2,6.2
39,39,27,2023-01-06,24-092,NOP,,BRK,L (-6),1,25:30,2.0,7.0,.286,1.0,2.0,.500,0,0.0,,1.0,1.0,2.0,3.0,0.0,1.0,0.0,6.0,5.0,2.3,-16,5.0,1.0,0.2,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,4.0,65.0,4.0625,2.299999999999998,68.0,4.25
40,40,28,2023-01-07,24-093,NOP,@,DAL,L (-10),1,33:55,6.0,13.0,.462,1.0,3.0,.333,3,4.0,.750,1.0,5.0,6.0,1.0,5.0,1.0,1.0,4.0,16.0,14.9,-7,10.0,5.0,0.5,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,11.0,72.0,4.5,13.699999999999998,84.59999999999998,5.287499999999999
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,,0.0,0.0,0.0,0.0,0.0
42,41,29,2023-01-09,24-095,NOP,@,WAS,W (+20),1,12:31,1.0,2.0,.500,0.0,0.0,,3,4.0,.750,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,4.2,-6,2.0,1.0,0.5,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,0.0,98.0,6.125,3.0,101.90000000000003,6.368750000000002
43,42,,2023-01-11,24-097,NOP,@,BOS,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,,83.0,5.1875,0.0,89.49999999999999,5.593749999999999
44,43,,2023-01-13,24-099,NOP,@,DET,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,,81.0,5.0625,0.0,93.0,5.8125
45,44,,2023-01-16,24-102,NOP,@,CLE,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,,84.0,5.25,0.0,83.0,5.1875
46,45,,2023-01-18,24-104,NOP,,MIA,L (-26),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,,63.0,3.9375,0.0,69.1,4.31875
47,46,30,2023-01-20,24-106,NOP,@,ORL,L (-13),1,18:51,4.0,5.0,.800,1.0,1.0,1.000,1,4.0,.250,1.0,0.0,1.0,3.0,2.0,1.0,0.0,6.0,10.0,10.0,0,4.0,3.0,0.75,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,8.0,88.0,5.5,9.599999999999998,87.99999999999999,5.499999999999999
48,47,31,2023-01-22,24-108,NOP,@,MIA,L (-4),1,30:21,4.0,5.0,.800,0.0,1.0,.000,3,4.0,.750,0.0,4.0,4.0,4.0,2.0,1.0,3.0,1.0,11.0,12.0,-6,4.0,4.0,1.0,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,10.0,57.0,3.5625,10.799999999999995,56.4,3.525
49,48,32,2023-01-24,24-110,NOP,,DEN,L (-1),1,23:38,3.0,8.0,.375,0.0,2.0,.000,0,0.0,,5.0,1.0,6.0,1.0,3.0,1.0,4.0,4.0,6.0,4.2,+7,6.0,3.0,0.5,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,5.0,54.0,3.375,4.199999999999999,63.6,3.975
50,49,33,2023-01-25,24-111,NOP,,MIN,L (-9),1,26:05,2.0,9.0,.222,0.0,5.0,.000,0,0.0,,4.0,1.0,5.0,1.0,0.0,0.0,1.0,3.0,4.0,0.1,-19,4.0,2.0,0.5,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,0.0,48.0,3.0,0.0999999999999996,55.5,3.46875
51,50,34,2023-01-28,24-114,NOP,,WAS,L (-10),1,31:21,3.0,5.0,.600,0.0,1.0,.000,2,2.0,1.000,0.0,4.0,4.0,1.0,0.0,1.0,0.0,3.0,8.0,7.1,-6,4.0,3.0,0.75,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,7.0,58.0,3.625,6.299999999999997,59.1,3.69375
52,51,35,2023-01-29,24-115,NOP,@,MIL,L (-25),1,27:10,4.0,11.0,.364,2.0,3.0,.667,1,2.0,.500,2.0,3.0,5.0,2.0,1.0,1.0,1.0,3.0,11.0,7.7,-23,8.0,2.0,0.25,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,6.0,53.0,3.3125,7.300000000000001,58.60000000000001,3.6625000000000005
53,52,36,2023-01-31,24-117,NOP,@,DEN,L (-9),1,36:40,6.0,8.0,.750,2.0,4.0,.500,7,8.0,.875,2.0,2.0,4.0,4.0,5.0,0.0,2.0,4.0,21.0,23.6,-25,4.0,4.0,1.0,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,16.0,74.0,4.625,20.8,73.69999999999999,4.606249999999999
54,53,37,2023-02-02,24-119,NOP,@,DAL,L (-5),1,35:20,4.0,9.0,.444,1.0,6.0,.167,0,1.0,.000,0.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,9.0,3.3,-11,3.0,3.0,1.0,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,2.0,85.0,5.3125,3.299999999999997,83.79999999999998,5.237499999999999
55,54,38,2023-02-04,24-121,NOP,,LAL,W (+5),1,40:26,2.0,9.0,.222,0.0,2.0,.000,0,0.0,,1.0,3.0,4.0,3.0,4.0,0.0,3.0,5.0,4.0,1.2,+7,7.0,2.0,0.2857142857142857,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,3.0,87.0,5.4375,1.2000000000000002,105.5,6.59375
