Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
26,26,26,2022-12-13,30-197,SAC,@,PHI,L (-20),1,30:35,4.0,12.0,.333,1.0,6.0,.167,2,2.0,1.000,1.0,7.0,8.0,2.0,1.0,0.0,1.0,1.0,11.0,8.0,-20,6.0,3.0,0.5,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,7.0,45.0,2.5,7.1999999999999975,54.899999999999984,3.049999999999999
27,27,27,2022-12-14,30-198,SAC,@,TOR,W (+1),1,36:21,4.0,8.0,.500,0.0,4.0,.000,4,4.0,1.000,2.0,6.0,8.0,3.0,0.0,0.0,0.0,1.0,12.0,12.9,+8,4.0,4.0,1.0,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,11.0,70.0,3.888888888888889,11.3,82.39999999999999,4.5777777777777775
28,28,28,2022-12-16,30-200,SAC,@,DET,W (+9),1,36:35,5.0,9.0,.556,3.0,4.0,.750,6,6.0,1.000,1.0,6.0,7.0,2.0,3.0,0.0,3.0,3.0,19.0,17.4,+16,5.0,2.0,0.4,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,13.0,61.0,3.388888888888889,14.999999999999996,75.80000000000001,4.211111111111112
29,29,29,2022-12-19,30-203,SAC,,CHO,L (-6),1,29:29,3.0,7.0,.429,0.0,2.0,.000,5,8.0,.625,0.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0,11.0,9.7,+2,5.0,3.0,0.6,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,3.0,57.0,3.1666666666666665,7.700000000000001,75.3,4.183333333333334
30,30,30,2022-12-21,30-205,SAC,,LAL,W (+14),1,33:56,8.0,15.0,.533,3.0,7.0,.429,1,3.0,.333,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,20.0,15.4,+8,8.0,5.0,0.625,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,11.0,73.0,4.055555555555555,15.0,86.8,4.822222222222222
31,31,31,2022-12-23,30-207,SAC,,WAS,L (-14),1,37:59,4.0,13.0,.308,2.0,7.0,.286,1,2.0,.500,0.0,5.0,5.0,0.0,0.0,0.0,2.0,1.0,11.0,2.2,-2,6.0,2.0,0.3333333333333333,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,-1.0,53.0,2.9444444444444446,1.8000000000000005,69.2,3.8444444444444446
32,32,32,2022-12-27,30-211,SAC,,DEN,L (-7),1,32:49,5.0,11.0,.455,1.0,4.0,.250,2,2.0,1.000,2.0,6.0,8.0,1.0,1.0,0.0,0.0,3.0,13.0,11.0,-9,7.0,4.0,0.5714285714285714,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,10.0,49.0,2.7222222222222223,10.2,63.6,3.533333333333333
33,33,33,2022-12-28,30-212,SAC,,DEN,W (+1),1,23:47,2.0,8.0,.250,0.0,2.0,.000,4,6.0,.667,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,8.0,4.8,-13,6.0,2.0,0.3333333333333333,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,-2.0,92.0,5.111111111111111,3.200000000000001,107.9,5.9944444444444445
34,34,34,2022-12-30,30-214,SAC,,UTA,W (+1),1,31:39,3.0,10.0,.300,1.0,4.0,.250,3,4.0,.750,1.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,10.0,7.4,0,6.0,2.0,0.3333333333333333,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,2.0,78.0,4.333333333333333,6.1999999999999975,90.7,5.038888888888889
35,35,35,2023-01-01,30-216,SAC,@,MEM,L (-10),1,28:32,4.0,12.0,.333,4.0,9.0,.444,4,4.0,1.000,0.0,5.0,5.0,1.0,1.0,0.0,2.0,0.0,16.0,10.4,-2,3.0,0.0,0.0,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,5.0,59.0,3.2777777777777777,8.800000000000002,65.69999999999999,3.6499999999999995
36,36,36,2023-01-03,30-218,SAC,@,UTA,W (+2),1,37:06,7.0,13.0,.538,3.0,7.0,.429,2,2.0,1.000,1.0,7.0,8.0,2.0,2.0,0.0,3.0,2.0,19.0,15.1,+4,6.0,4.0,0.6666666666666666,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,13.0,57.0,3.1666666666666665,14.299999999999995,66.99999999999999,3.7222222222222214
37,37,37,2023-01-04,30-219,SAC,,ATL,L (-3),1,36:53,7.0,15.0,.467,2.0,7.0,.286,6,6.0,1.000,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,22.0,16.6,+4,8.0,5.0,0.625,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,6.0,66.0,3.6666666666666665,14.2,75.1,4.172222222222222
38,38,38,2023-01-07,30-222,SAC,,LAL,L (-2),1,36:29,4.0,9.0,.444,2.0,5.0,.400,8,10.0,.800,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,18.0,14.9,-6,4.0,2.0,0.5,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,3.0,62.0,3.4444444444444446,11.699999999999998,81.6,4.533333333333333
39,39,39,2023-01-09,30-224,SAC,,ORL,W (+25),1,30:28,11.0,13.0,.846,6.0,7.0,.857,2,3.0,.667,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,30.0,24.5,+17,6.0,5.0,0.8333333333333334,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,15.0,93.0,5.166666666666667,23.7,94.2,5.233333333333333
40,40,40,2023-01-11,30-226,SAC,,HOU,W (+20),1,32:46,5.0,10.0,.500,3.0,7.0,.429,3,3.0,1.000,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,16.0,12.2,+17,3.0,2.0,0.6666666666666666,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,6.0,73.0,4.055555555555555,11.000000000000002,87.0,4.833333333333333
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,,0.0,0.0,0.0,0.0,0.0
42,41,41,2023-01-13,30-228,SAC,,HOU,W (+25),1,36:01,8.0,14.0,.571,5.0,8.0,.625,6,6.0,1.000,4.0,3.0,7.0,3.0,1.0,0.0,1.0,1.0,27.0,25.8,+28,6.0,3.0,0.5,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,17.0,91.0,5.055555555555555,23.40000000000001,99.8,5.544444444444444
43,42,42,2023-01-15,30-230,SAC,@,SAS,W (+13),1,38:40,8.0,11.0,.727,4.0,6.0,.667,9,11.0,.818,0.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,29.0,24.2,+22,5.0,4.0,0.8,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,11.0,71.0,3.9444444444444446,20.600000000000005,83.49999999999999,4.638888888888888
44,43,43,2023-01-18,30-233,SAC,@,LAL,W (+5),1,40:08,6.0,17.0,.353,2.0,5.0,.400,6,7.0,.857,0.0,6.0,6.0,2.0,0.0,0.0,2.0,1.0,20.0,10.9,+12,12.0,4.0,0.3333333333333333,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,2.0,67.0,3.7222222222222223,8.499999999999998,78.7,4.372222222222223
45,44,44,2023-01-20,30-235,SAC,,OKC,W (+5),1,39:08,3.0,7.0,.429,1.0,4.0,.250,4,4.0,1.000,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,11.0,7.3,-1,3.0,2.0,0.6666666666666666,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,2.0,67.0,3.7222222222222223,5.699999999999999,75.79999999999998,4.21111111111111
46,45,45,2023-01-21,30-236,SAC,,PHI,L (-2),1,37:56,8.0,13.0,.615,6.0,9.0,.667,5,7.0,.714,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,27.0,21.8,+6,4.0,2.0,0.5,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,12.0,62.0,3.4444444444444446,19.8,78.6,4.366666666666666
47,46,46,2023-01-23,30-238,SAC,,MEM,W (+33),1,30:00,6.0,10.0,.600,6.0,9.0,.667,2,2.0,1.000,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,20.0,16.0,+8,1.0,0.0,0.0,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,11.0,97.0,5.388888888888889,15.2,97.1,5.394444444444444
48,47,47,2023-01-25,30-240,SAC,,TOR,L (-18),1,30:09,3.0,7.0,.429,1.0,4.0,.250,3,4.0,.750,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,10.0,5.8,-23,3.0,2.0,0.6666666666666666,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,1.0,60.0,3.333333333333333,4.6,63.8,3.5444444444444443
49,48,48,2023-01-28,30-243,SAC,@,MIN,L (-7),1,36:48,1.0,7.0,.143,1.0,4.0,.250,10,11.0,.909,1.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,13.0,8.7,-3,3.0,0.0,0.0,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,-2.0,49.0,2.7222222222222223,4.699999999999999,66.8,3.711111111111111
50,49,49,2023-01-30,30-245,SAC,@,MIN,W (+7),1,40:34,3.0,11.0,.273,1.0,4.0,.250,1,3.0,.333,1.0,1.0,2.0,1.0,4.0,0.0,1.0,2.0,8.0,4.6,+1,7.0,2.0,0.2857142857142857,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,0.0,73.0,4.055555555555555,4.199999999999999,84.20000000000002,4.677777777777779
51,50,50,2023-02-01,30-247,SAC,@,SAS,W (+10),1,35:51,5.0,9.0,.556,2.0,4.0,.500,2,2.0,1.000,1.0,5.0,6.0,1.0,1.0,0.0,2.0,0.0,14.0,11.6,+20,5.0,3.0,0.6,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,9.0,64.0,3.555555555555556,10.799999999999995,84.79999999999998,4.71111111111111
52,51,51,2023-02-03,30-249,SAC,@,IND,L (-3),1,34:47,7.0,12.0,.583,3.0,5.0,.600,6,7.0,.857,1.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,23.0,21.0,+5,7.0,4.0,0.5714285714285714,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,12.0,51.0,2.833333333333333,18.6,52.39999999999999,2.9111111111111105
53,52,52,2023-02-05,30-251,SAC,@,NOP,L (-32),1,23:18,1.0,3.0,.333,0.0,1.0,.000,5,6.0,.833,1.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,7.0,4.1,-35,2.0,1.0,0.5,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,0.0,52.0,2.888888888888889,2.0999999999999988,65.0,3.611111111111111
54,53,53,2023-02-06,30-252,SAC,@,HOU,W (+20),1,26:24,3.0,9.0,.333,0.0,3.0,.000,3,3.0,1.000,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,9.0,8.7,+10,6.0,3.0,0.5,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,5.0,104.0,5.777777777777778,7.499999999999999,116.7,6.483333333333333
